,Title,Subtitle,CELEX number,Current consolidated version,Latest consolidated version,LP_Legal basis,ELI,Form,EUROVOC descriptor,ECLI identifier,Subject matter,Directory code,Case-Law directory code (before Lisbon),Case-Law directory code (after Lisbon),Legal basis,Transposed legal act(s),Rectified by,Type of procedure,Collection of the document,Date of document,Date of publication,Author,Date of effect,Date of end of validity,Date of transposition,Applicant/Appellant,Defendant/Other parties to the proceedings,In force indicator,Publication Reference,Unnamed: 29,Unnamed: 6
163,2014/761/EU: Commission Recommendation of 29 October 2014 on the application of internal energy market rules between the EU Member States and the Energy Community Contracting Parties,,32014H0761,,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 311, 31/10/2014, p. 82–84
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",,
165,2014/724/EU: Commission Recommendation of 10 October 2014 on the Data Protection Impact Assessment Template for Smart Grid and Smart Metering Systems,,32014H0724,,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 300, 18/10/2014, p. 63–68
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",,
166,2014/713/EU: Commission Decision of 13 October 2014 on the establishment of the annual priority lists for the development of network codes and guidelines for 2015  Text with EEA relevance,,32014D0713,,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 296, 14/10/2014, p. 28–30
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",,
167,2014/536/EU: Commission Decision of 14 August 2014 granting the Hellenic Republic a derogation from certain provisions of Directive 2009/72/EC of the European Parliament and of the Council,,32014D0536,,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 248, 22/08/2014, p. 12–27
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",,
171,2014/70/EU: Commission Recommendation of 22 January 2014 on minimum principles for the exploration and production of hydrocarbons (such as shale gas) using high-volume hydraulic fracturing,,32014H0070,,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 39, 08/02/2014, p. 72–78
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",,
172,Commission Delegated Regulation (EU) No 65/2014 of 1 October 2013 supplementing Directive 2010/30/EU of the European Parliament and of the Council with regard to the energy labelling of domestic ovens and range hoods  Text with EEA relevance,,32014R0065,2017-03-07,2017-03-07,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 29, 31/01/2014, p. 1–32
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",,
174,2013/791/Euratom: Council Decision of 13 December 2013 amending Decision 2007/198/Euratom establishing the European Joint Undertaking for ITER and the Development of Fusion Energy and conferring advantages upon it,,32013D0791,,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 349, 21/12/2013, p. 100–102
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",,
175,Decision of the Ministerial Council of the Energy Community D/2013/03/MC-EnC on extending the duration of the Energy Community Treaty,,32013D1130(01),,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 320, 30/11/2013, p. 81–81
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",,
176,"Commission Delegated Regulation (EU) No 811/2013 of 18 February 2013 supplementing Directive 2010/30/EU of the European Parliament and of the Council with regard to the energy labelling of space heaters, combination heaters, packages of space heater, temperature control and solar device and packages of combination heater, temperature control and solar device  Text with EEA relevance",,32013R0811,2017-03-07,2017-03-07,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 239, 06/09/2013, p. 1–82
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",,
177,"Commission Delegated Regulation (EU) No 812/2013 of 18 February 2013 supplementing Directive 2010/30/EU of the European Parliament and of the Council with regard to the energy labelling of water heaters, hot water storage tanks and packages of water heater and solar device  Text with EEA relevance",,32013R0812,2018-04-26,2018-04-26,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 239, 06/09/2013, p. 83–135
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",,
180,2013/442/EU: Commission Decision of 21 August 2013 on the establishment of the annual priority lists for the development of network codes and guidelines for 2014  Text with EEA relevance,,32013D0442,,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 224, 22/08/2013, p. 14–17
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",,
181,"2013/434/EU: Council Decision of 15 July 2013 authorising certain Member States to ratify, or to accede to, the Protocol amending the Vienna Convention on Civil Liability for Nuclear Damage of 21 May 1963 , in the interest of the European Union, and to make a declaration on the application of the relevant internal rules of Union law",,32013D0434,,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 220, 17/08/2013, p. 1–2
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",,
182,2013/408/Euratom: Commission Decision of 31 July 2012 on the conclusion of the Agreement for Cooperation in the Peaceful Uses of Nuclear Energy between the European Atomic Energy Community and the Government of the Republic of South Africa,,32013D0408,,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 204, 31/07/2013, p. 2–2
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		HR)
		",,
183,Agreement between the Government of the Republic of South Africa and the European Atomic Energy Community (Euratom) for Cooperation in the Peaceful Uses of Nuclear Energy,,22013A0731(01),,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 204, 31/07/2013, p. 3–10
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		HR)
		",,
184,2013/363/Euratom: Commission Decision of 17 May 2013 on the conclusion of the Agreement between the European Atomic Energy Community (Euratom) and the Korean Peninsula Energy Development Organisation (KEDO),,32013D0363,,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 188, 09/07/2013, p. 1–1
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		HR)
		",,
188,2013/242/EU: Commission Implementing Decision of 22 May 2013 establishing a template for National Energy Efficiency Action Plans under Directive 2012/27/EU of the European Parliament and of the Council (notified under document C(2013) 2882)  Text with EEA relevance,,32013D0242,,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 141, 28/05/2013, p. 48–53
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		HR)
		",,
189,Commission Delegated Regulation (EU) No 312/2013 of 31 January 2013 correcting the Hungarian text of Delegated Regulation (EU) No 244/2012 supplementing Directive 2010/31/EU of the European Parliament and of the Council on the energy performance of buildings by establishing a comparative methodology framework for calculating cost-optimal levels of minimum energy performance requirements for buildings and building elements  Text with EEA relevance,,32013R0312,,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 95, 05/04/2013, p. 8–8
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",,
190,"2013/4/Euratom: Council Decision of 11 December 2012 approving the conclusion, by the European Commission, of the Agreement on scientific and technological cooperation between the European Atomic Energy Community, of the one part, and the Swiss Confederation, of the other part, associating the Swiss Confederation to the Framework Programme of the European Atomic Energy Community for nuclear research and training activities (2012-2013)",,32013D0004,,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 4, 09/01/2013, p. 1–2
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		HR)
		",,
191,2012/709/Euratom: Council Decision of 13 November 2012 on the adoption of the 2012-2015 High Flux Reactor supplementary research programme to be implemented by the Joint Research Centre for the European Atomic Energy Community,,32012D0709,,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 321, 20/11/2012, p. 59–60
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		HR)
		",,
193,"2012/539/EU: Commission Implementing Decision of 26 September 2012 exempting the production and wholesale of electricity produced from conventional sources in macro-zone north and macro-zone south in Italy from the application of Directive 2004/17/EC of the European Parliament and of the Council coordinating the procurement procedures of entities operating in the water, energy, transport and postal services sector and amending Commission Decision 2010/403/EU (notified under document C(2012) 6665)  Text with EEA relevance",,32012D0539,,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 271, 05/10/2012, p. 4–11
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",,
194,2012/413/EU: Commission Decision of 19 July 2012 on the establishment of the annual priority lists for the development of network codes and guidelines for 2013  Text with EEA relevance,,32012D0413,,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 192, 20/07/2012, p. 32–34
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		HR)
		",,
196,Commission Delegated Regulation (EU) No 392/2012 of 1 March 2012 supplementing Directive 2010/30/EU of the European Parliament and of the Council with regard to energy labelling of household tumble driers  Text with EEA relevance,,32012R0392,2020-08-09,2020-08-09,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 123, 09/05/2012, p. 1–26
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		HR)
		",,
197,"2012/218/EU: Commission Implementing Decision of 24 April 2012 exempting the production and wholesale of electricity produced from conventional sources in Germany from the application of Directive 2004/17/EC of the European Parliament and of the Council coordinating the procurement procedures of entities operating in the water, energy, transport and postal services sectors (notified under document C(2012) 2426)  Text with EEA relevance",,32012D0218,,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 114, 26/04/2012, p. 21–27
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",,
198,Commission Delegated Regulation (EU) No 244/2012 of 16 January 2012 supplementing Directive 2010/31/EU of the European Parliament and of the Council on the energy performance of buildings by establishing a comparative methodology framework for calculating cost-optimal levels of minimum energy performance requirements for buildings and building elements  Text with EEA relevance,,32012R0244,2013-04-06,2013-04-06,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 81, 21/03/2012, p. 18–36
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		HR)
		",,
199,2012/148/EU: Commission Recommendation of 9 March 2012 on preparations for the roll-out of smart metering systems,,32012H0148,,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 73, 13/03/2012, p. 9–22
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",,
201,2012/55/Euratom: Commission Decision of 2 March 2011 on the conclusion of the Agreement for cooperation in the peaceful uses of nuclear energy between the European Atomic Energy Community and the Government of Australia,,32012D0055,,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 29, 01/02/2012, p. 3–3
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		HR)
		",,
202,Agreement between the Government of Australia and the European Atomic Energy Community (Euratom) for cooperation in the peaceful uses of nuclear energy,,22012A0201(01),,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 29, 01/02/2012, p. 4–12
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		HR)
		",,
203,2011/886/EU: Council Decision of 12 December 2011 on the position to be taken by the European Union in the EEA Joint Committee concerning an amendment to Annex IV (Energy) to the EEA Agreement,,32011D0886,,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 344, 28/12/2011, p. 31–33
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		HR)
		",,
206,Commission Delegated Regulation (EU) No 626/2011 of 4 May 2011 supplementing Directive 2010/30/EU of the European Parliament and of the Council with regard to energy labelling of air conditioners,,32011R0626,2020-08-09,2020-08-09,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 178, 06/07/2011, p. 1–72
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		HR)
		",,
207,2011/374/Euratom: Council Decision of 17 June 2011 on extension of the advantages conferred on the joint undertaking Hochtemperatur-Kernkraftwerk GmbH (HKG),,32011D0374,,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 168, 28/06/2011, p. 8–9
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",,
208,2011/362/Euratom: Council Decision of 17 June 2011 on extension of the joint-undertaking status of Hochtemperatur-Kernkraftwerk GmbH (HKG),,32011D0362,,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 163, 23/06/2011, p. 24–25
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",,
209,"2011/334/Euratom: Council Decision of 21 November 2006 approving the conclusion, by the Commission, of the Agreement for cooperation between the European Atomic Energy Community represented by the Commission of the European Communities and the Government of the Republic of Korea in the field of fusion energy research",,32011D0334,,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 154, 11/06/2011, p. 1–1
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		HR)
		",,
210,2011/280/EU: Commission Decision of 16 May 2011 on repealing Decision 2003/796/EC on establishing the European Regulators Group for Electricity and Gas,,32011D0280,,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 129, 17/05/2011, p. 14–14
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		HR)
		",,
212,"2011/186/Euratom: Council Decision of 14 June 2010 approving the conclusion, by the European Commission on behalf of the European Atomic Energy Community, of the Interim Agreement on trade and trade-related matters between the European Community, the European Coal and Steel Community and the European Atomic Energy Community, of the one part, and Turkmenistan, of the other part, and the Exchange of Letters amending the Interim Agreement as regards the authentic language versions",,32011D0186,,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 80, 26/03/2011, p. 1–1
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		HR)
		",,
213,2010/787/EU: Council Decision of 10 December 2010 on State aid to facilitate the closure of uncompetitive coal mines,,32010D0787,,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 336, 21/12/2010, p. 24–29
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		HR)
		",,
215,2010/635/Euratom: Commission Recommendation of 11 October 2010 on the application of Article 37 of the Euratom Treaty,,32010H0635,,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 279, 23/10/2010, p. 36–67
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",,
218,"2010/487/Euratom: Council Decision of 9 October 2009 on the conclusion, by the Commission, of the Agreement for cooperation between the European Atomic Energy Community and the Government of the Republic of India in the field of fusion energy research",,32010D0487,,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 242, 15/09/2010, p. 25–25
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		HR)
		",,
219,"2010/488/Euratom: Council Decision of 16 November 2009 approving the conclusion, by the Commission, of the Agreement for cooperation between the European Atomic Energy Community and the Government of the Federative Republic of Brazil in the field of fusion energy research",,32010D0488,,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 242, 15/09/2010, p. 33–33
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		HR)
		",,
221,2010/398/Euratom: Commission Decision of 15 July 2010 on the conclusion of a Memorandum of Understanding between the European Commission and the International Atomic Energy Agency concerning the EURDEP (EUropean Radiological Data Exchange Platform),,32010D0398,,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 182, 16/07/2010, p. 15–17
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		HR)
		",,
223,2010/385/: Council Decision of 24 June 2010 on the conclusion of the Statute of the International Renewable Energy Agency (IRENA) by the European Union,,32010D0385,,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 178, 13/07/2010, p. 17–27
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		HR)
		",,
224,2010/349/: Decision taken by common accord between the Representatives of the Governments of the Member States of 31 May 2010 on the location of the seat of the Office of the Body of European Regulators for Electronic Communications (BEREC),,42010D0349,,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 156, 23/06/2010, p. 12–12
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		HR)
		",,
225,2010/222/: Commission Decision of 19 April 2010 on the European Commission becoming a partner in the Global Bioenergy Partnership,,32010D0222,,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 98, 20/04/2010, p. 12–12
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		HR)
		",,
230,2009/954/EC: Council Decision of 30 November 2009 on the signing and conclusion of the Terms of Reference for the International Partnership for Energy Efficiency Cooperation (IPEEC) and the Memorandum concerning the hosting by the International Energy Agency of the Secretariat to the International Partnership for Energy Efficiency Cooperation by the European Community,,32009D0954,,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 330, 16/12/2009, p. 37–47
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		HR)
		",,
231,Decision taken by common agreement between the Representatives of the Governments of Member States of 7 December 2009 on the location of the seat of the Agency for the Cooperation of Energy Regulators,,42009D0913,,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 322, 09/12/2009, p. 39–39
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		HR)
		",,
232,2009/806/EC: Council Decision of 19 October 2009 on the signing of the Statute of the International Renewable Energy Agency (IRENA) by the European Community,,32009D0806,,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 288, 04/11/2009, p. 23–23
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		HR)
		",,
233,"2009/789/EC: Commission Decision of 26 October 2009 determining the Community position for a decision of the management entities under the Agreement between the Government of the United States of America and the European Community on the coordination of energy-efficiency labelling programmes for office equipment on the revision of the computer monitor specifications in Annex C, part II, to the Agreement (Text with EEA relevance)",,32009D0789,,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 282, 29/10/2009, p. 23–40
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",,
236,"2009/546/EC: Commission Decision of 8 July 2009 exempting exploration for and exploitation of oil and gas in the Netherlands from the application of Directive 2004/17/EC of the European Parliament and of the Council coordinating the procurement procedures of entities operating in the water, energy, transport and postal services sectors (notified under document number C(2009) 5381) (Text with EEA relevance)",,32009D0546,,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 181, 14/07/2009, p. 53–56
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",,
238,2009/410/Euratom: Council Decision of 25 May 2009 on the adoption of a supplementary research programme to be implemented by the Joint Research Centre for the European Atomic Energy Community,,32009D0410,,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 132, 29/05/2009, p. 13–15
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",,
239,Commission Recommendation of 11 February 2009 on the implementation of a nuclear material accountancy and control system by operators of nuclear installations (notified under document number C(2009) 785),,32009H0120,,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 41, 12/02/2009, p. 17–23
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",,
241,Agreement for co-operation in the peaceful uses of nuclear energy between the European Atomic Energy Community and the Government of the Republic of Kazakhstan,,22009A0115(01),,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 10, 15/01/2009, p. 16–21
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		HR)
		",,
243,2008/952/EC: Commission Decision of 19 November 2008 establishing detailed guidelines for the implementation and application of Annex II to Directive 2004/8/EC of the European Parliament and of the Council (notified under document number C(2008) 7294) (Text with EEA relevance),,32008D0952,,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 338, 17/12/2008, p. 55–61
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		HR)
		",,
245,"2008/114/EC,Euratom: Council Decision of 12 February 2008 establishing Statutes for the Euratom Supply Agency",,32008D0114,2013-07-01,2013-07-01,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 41, 15/02/2008, p. 15–20
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		HR)
		",,
248,Agreement between the European Atomic Energy Community and the Government of Japan for the Joint Implementation of the Broader Approach Activities in the Field of Fusion Energy Research,,22007A0921(01),,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 246, 21/09/2007, p. 34–46
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		HR)
		",,
249,2007/513/Euratom: Council Decision of 10 July 2007 approving the accession of the European Atomic Energy Community to the amended Convention on the Physical Protection of Nuclear Material and Nuclear Facilities -  Declaration by the European Atomic Energy Community according to Articles 18(4) and 17(3) of the CPPNM,,32007D0513,,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 190, 21/07/2007, p. 12–14
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		HR)
		",,
250,Agreement on the privileges and immunities of the ITER International Fusion Energy Organization for the Joint Implementation of the ITER Project,,22006A1216(05),,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 358, 16/12/2006, p. 82–86
		 (ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		BG, RO, HR)
		",,
252,2007/198/Euratom: Council Decision of 27 March 2007 establishing the European Joint Undertaking for ITER and the Development of Fusion Energy and conferring advantages upon it,,32007D0198,2021-01-01,2021-01-01,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 90, 30/03/2007, p. 58–72
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, NL, PL, PT, RO, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		HR)
		",,
253,Agreement between the Government of Japan and the European Atomic Energy Community for co-operation in the peaceful uses of nuclear energy,,22007A0206(01),,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 32, 06/02/2007, p. 65–75
		 (ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, NL, PL, PT, SK, SL, FI, SV), OJ L 219M , 24/08/2007, p. 100–110
		 (MT), This document has been published in a special edition(s) (
           		BG, RO, HR)
		",,
254,Agreement on the Establishment of the ITER International Fusion Energy Organization for the Joint Implementation of the ITER Project,,22006A1216(03),,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 358, 16/12/2006, p. 62–80
		 (ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		BG, RO, HR)
		",,
255,2006/943/Euratom: Commission Decision of 17 November 2006 on Provisional Application of the Agreement on the Establishment of the ITER International Fusion Energy Organization for the Joint Implementation of the ITER Project and of the Agreement on Privileges and Immunities of the ITER International Fusion Energy Organization for the Joint Implementation of the ITER Project (notified under document number C(2006) 5557,,32006D0943,,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 358, 16/12/2006, p. 60–61
		 (ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, NL, PL, PT, SK, SL, FI, SV), OJ L 142M , 05/06/2007, p. 835–836
		 (MT), This document has been published in a special edition(s) (
           		BG, RO, HR)
		",,
256,"2006/908/EC,Euratom: Council Decision of 4 December 2006 on the first instalment of the third Community contribution to the European Bank for Reconstruction and Development for the Chernobyl Shelter Fund",,32006D0908,,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 346, 09/12/2006, p. 28–29
		 (ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, NL, PL, PT, SK, SL, FI, SV), OJ L 335M , 13/12/2008, p. 546–550
		 (MT), This document has been published in a special edition(s) (
           		BG, RO, HR)
		",,
